model,score,num_boost_round,epochs,batch_size,lr
MLP Regressor,15144.080843618018,,100.0,128.0,0.0003
MLP Regressor,10196.460113003863,,100.0,128.0,0.001
MLP Regressor,11638.681404766057,,100.0,32.0,0.001
MLP Regressor,11373.136886122966,,100.0,128.0,0.001
MLP Regressor,66157.1029945197,,100.0,128.0,0.0001
MLP Regressor,27296.54107821625,,240.0,128.0,0.0001
MLP Regressor,11333.63395017327,,240.0,128.0,0.0003
MLP Regressor,11500.853267671766,,240.0,64.0,0.0003
MLP Regressor,8367.339945656831,,240.0,64.0,0.001
MLP Regressor,8307.976463243114,,240.0,64.0,0.001
XGBoost Regressor,4464.465797618716,711.0,,,
XGBoost Regressor,4470.8588445615305,94.0,,,
XGBoost Regressor,4459.796758738172,541.0,,,
XGBoost Regressor,4454.93446861864,68.0,,,
XGBoost Regressor,4465.06851228236,833.0,,,
XGBoost Regressor,4460.466473028044,561.0,,,
XGBoost Regressor,4471.4633707140165,93.0,,,
XGBoost Regressor,4463.255305535147,332.0,,,
XGBoost Regressor,4462.50770778433,661.0,,,
XGBoost Regressor,4466.557606755436,1538.0,,,
XGBoost Regressor,4466.356044621019,1333.0,,,
LightGBM Regressor,4013.082729598211,237.0,,,
Logistic Regressor,17558.07583447575,,410.0,16.0,0.003
FNN Regressor,76314.87662146137,,90.0,16.0,0.03
Logistic Regressor,11416.785921772132,,410.0,16.0,0.01
Logistic Regressor,10612.451656929763,,410.0,16.0,0.01
Logistic Regressor,13500.559482621287,,220.0,16.0,0.01
Logistic Regressor,14040.050092896714,,220.0,64.0,0.01
Logistic Regressor,15073.555949648542,,220.0,128.0,0.01
XGBoost Regressor,4463.735642640012,696.0,,,
XGBoost Regressor,4466.527462378516,1416.0,,,
XGBoost Regressor,4466.550247160921,1546.0,,,
XGBoost Regressor,4466.266716713137,996.0,,,
XGBoost Regressor,4464.228660673464,717.0,,,
XGBoost Regressor,4461.342552946283,321.0,,,
XGBoost Regressor,4463.042793574684,335.0,,,
XGBoost Regressor,4465.110501904267,815.0,,,
XGBoost Regressor,4459.597522355469,372.0,,,
XGBoost Regressor,4466.347566725627,1242.0,,,
XGBoost Regressor,4466.594122334777,1494.0,,,
Logistic Regressor,12030.916563084193,,220.0,128.0,0.01
FNN Regressor,77344.30757957786,,90.0,16.0,0.001
FNN Regressor,77345.40868376759,,90.0,16.0,0.001
MLP Regressor,7953.03880446962,,370.0,64.0,0.001
MLP Regressor,9167.398308017095,,370.0,64.0,0.0003
MLP Regressor,14555.366309479163,,370.0,64.0,0.0001
LightGBM Regressor,3936.001872311299,1058.0,,,
