,model,score,std_dev,r2,num_boost_round,epochs,batch_size,lr
329,Logistic Regressor,33339.8346533966,,,,200.0,64.0,0.01
330,Logistic Regressor,33336.036744613644,,,,250.0,64.0,0.01
331,Logistic Regressor,33335.50361587524,,,,250.0,32.0,0.01
332,LightGBM Regressor,7293.592265624997,,,740.0,,,
333,LightGBM Regressor,7293.592265624997,,,1622.0,,,
334,LightGBM Regressor,7293.592265624997,,,1135.0,,,
335,LightGBM Regressor,7293.592265624997,,,1845.0,,,
336,Logistic Regressor,33336.19601203918,,,,250.0,64.0,0.01
337,Logistic Regressor,33339.02619125366,,,,210.0,64.0,0.01
338,Logistic Regressor,33352.623695392605,,,,210.0,64.0,0.003
339,Logistic Regressor,33347.77088024139,,,,380.0,64.0,0.003
340,XGBoost Regressor,2626.836406249997,,,1296.0,,,
341,XGBoost Regressor,2626.836406249997,,,544.0,,,
342,LightGBM Regressor,7293.592265624997,,,1213.0,,,
343,LightGBM Regressor,7293.592265624997,,,561.0,,,
344,LightGBM Regressor,7293.592265624997,,,1111.0,,,
345,LightGBM Regressor,7293.592265624997,,,754.0,,,
346,XGBoost Regressor,2626.836406249997,,,764.0,,,
347,XGBoost Regressor,2626.836406249997,,,468.0,,,
348,XGBoost Regressor,2626.836406249997,,,383.0,,,
349,XGBoost Regressor,2626.836406249997,,,1177.0,,,
350,XGBoost Regressor,2626.836406249997,,,1803.0,,,
351,XGBoost Regressor,2626.836406249997,,,955.0,,,
352,XGBoost Regressor,2626.836406249997,,,1582.0,,,
353,XGBoost Regressor,2626.836406249997,,,1275.0,,,
354,LightGBM Regressor,7293.592265624997,,,299.0,,,
355,XGBoost Regressor,2626.836406249997,,,1619.0,,,
356,XGBoost Regressor,2626.836406249997,,,1933.0,,,
357,XGBoost Regressor,2626.836406249997,,,1868.0,,,
358,XGBoost Regressor,2626.836406249997,,,974.0,,,
359,XGBoost Regressor,2626.836406249997,,,334.0,,,
360,XGBoost Regressor,2626.836406249997,,,192.0,,,
361,XGBoost Regressor,2626.836406249997,,,279.0,,,
362,XGBoost Regressor,2626.836406249997,,,114.0,,,
363,XGBoost Regressor,2626.836406249997,,,858.0,,,
364,XGBoost Regressor,2626.836406249997,,,645.0,,,
365,XGBoost Regressor,2626.836406249997,,,1084.0,,,
366,XGBoost Regressor,2626.836406249997,,,1998.0,,,
367,Logistic Regressor,33350.23878623962,,,,330.0,64.0,0.003
368,XGBoost Regressor,2626.836406249997,,,1061.0,,,
369,XGBoost Regressor,2626.836406249997,,,263.0,,,
370,Logistic Regressor,33356.091640014645,,,,330.0,64.0,0.001
371,Logistic Regressor,33355.248683948514,,,,330.0,16.0,0.001
372,Logistic Regressor,33358.783738065955,,,,330.0,16.0,0.0001
373,FNN Regressor,19047.372539062497,,,,330.0,32.0,0.03
374,MLP Regressor,31571.33799316406,,,,250.0,256.0,0.001
375,MLP Regressor,31211.59055664062,,,,250.0,256.0,0.001
376,MLP Regressor,33354.730286617276,,,,250.0,256.0,0.0001
377,MLP Regressor,33283.91763641357,,,,250.0,256.0,0.0003
378,XGBoost Regressor,2626.836406249997,,,861.0,,,
