model,score,num_boost_round,epochs,batch_size,lr
XGBoost Regressor,3426.6033855011447,831.0,,,
XGBoost Regressor,3426.555576125986,368.0,,,
XGBoost Regressor,3426.5904860472365,393.0,,,
XGBoost Regressor,3426.5974476804067,643.0,,,
MLP Regressor,50128.617233024954,,340.0,64.0,0.001
MLP Regressor,50114.906825260245,,340.0,64.0,0.003
MLP Regressor,50064.901967476275,,340.0,64.0,0.003
MLP Regressor,50043.252811407954,,340.0,256.0,0.003
MLP Regressor,50062.87443741066,,380.0,256.0,0.003
MLP Regressor,50095.495864608,,380.0,128.0,0.003
MLP Regressor,50099.96905838937,,380.0,32.0,0.003
