model,score,epochs,batch_size,lr,num_boost_round
Logistic Regressor,5.226553588499298,410.0,64.0,0.001,
Logistic Regressor,6.088940318208806,410.0,16.0,0.001,
Logistic Regressor,38.213522421588564,250.0,16.0,0.001,
Logistic Regressor,8.899930821703572,250.0,16.0,0.001,
Logistic Regressor,155.2090815832757,250.0,16.0,0.0001,
Logistic Regressor,75.80545902398838,80.0,16.0,0.0001,
Logistic Regressor,39.092211278826895,80.0,16.0,0.001,
Logistic Regressor,46.392190878478445,80.0,16.0,0.003,
Logistic Regressor,35.258765912884826,80.0,64.0,0.003,
Logistic Regressor,13.761140824156234,230.0,64.0,0.003,
Logistic Regressor,29.586556775052188,210.0,64.0,0.003,
Logistic Regressor,7.340643983903253,210.0,64.0,0.01,
Logistic Regressor,4.073888925073808,210.0,16.0,0.01,
Logistic Regressor,4.781069843206765,430.0,16.0,0.01,
Logistic Regressor,5.116870825282071,410.0,16.0,0.01,
Logistic Regressor,4.111715450021562,410.0,32.0,0.01,
Logistic Regressor,4.023090703206112,450.0,32.0,0.01,
Logistic Regressor,4.3936231418032206,450.0,64.0,0.01,
Logistic Regressor,4.661657744723123,450.0,64.0,0.01,
LightGBM Regressor,0.49826996617436775,,,,648.0
LightGBM Regressor,0.463660483902085,,,,1173.0
LightGBM Regressor,0.46206372610250923,,,,1983.0
LightGBM Regressor,0.46154755785418433,,,,1727.0
XGBoost Regressor,0.43134661293825377,,,,814.0
XGBoost Regressor,0.43134661293825377,,,,334.0
XGBoost Regressor,0.43134661293825377,,,,974.0
Logistic Regressor,3.8180667380644606,450.0,64.0,0.01,
Logistic Regressor,4.280882903487798,450.0,64.0,0.001,
