model,score,num_boost_round,epochs,batch_size,lr
Logistic Regressor,24295.456646023056,,280.0,64.0,0.0003
Logistic Regressor,24295.744751797956,,140.0,64.0,0.0003
Logistic Regressor,24295.39176212669,,250.0,64.0,0.0003
LightGBM Regressor,1847.9266320792474,1134.0,,,
XGBoost Regressor,1714.0869325676458,1194.0,,,
XGBoost Regressor,1714.0880068467131,1395.0,,,
XGBoost Regressor,1714.0800404555282,555.0,,,
XGBoost Regressor,1714.086141912755,1046.0,,,
XGBoost Regressor,1714.0873012871382,1263.0,,,
XGBoost Regressor,1714.089359841632,1648.0,,,
XGBoost Regressor,1714.0845277221208,740.0,,,
XGBoost Regressor,1714.0892689012344,1631.0,,,
XGBoost Regressor,1714.086141912755,1046.0,,,
FNN Regressor,24290.815775234325,,90.0,32.0,0.001
FNN Regressor,24274.00691957742,,90.0,32.0,0.003
FNN Regressor,24276.32191148608,,90.0,128.0,0.003
Logistic Regressor,24295.699584687824,,100.0,64.0,0.0003
Logistic Regressor,24294.933089138307,,100.0,64.0,0.003
Logistic Regressor,24295.861624973128,,100.0,64.0,0.0003
Logistic Regressor,24295.835496409985,,130.0,64.0,0.0003
MLP Regressor,24293.3567327107,,70.0,128.0,0.0003
MLP Regressor,24294.091259586603,,60.0,128.0,0.0003
Logistic Regressor,24295.261681944525,,130.0,64.0,0.001
Logistic Regressor,24294.82491948009,,290.0,64.0,0.001
Logistic Regressor,24286.69971277232,,290.0,64.0,0.01
Logistic Regressor,24280.85682164859,,480.0,64.0,0.01
Logistic Regressor,24294.181360837494,,480.0,64.0,0.001
MLP Regressor,24293.425653000006,,60.0,64.0,0.0003
MLP Regressor,24293.170466875035,,60.0,32.0,0.0003
MLP Regressor,24054.78634180638,,60.0,32.0,0.003
MLP Regressor,7088.087815019357,,220.0,32.0,0.003
MLP Regressor,2931.362553929734,,440.0,32.0,0.003
MLP Regressor,2674.13816886638,,440.0,32.0,0.003
MLP Regressor,15401.453741365814,,440.0,32.0,0.001
MLP Regressor,14942.601325609294,,440.0,32.0,0.001
MLP Regressor,20568.937571862385,,350.0,32.0,0.001
MLP Regressor,19365.174881189738,,400.0,32.0,0.001
XGBoost Regressor,1714.0915320446895,425.0,,,
XGBoost Regressor,1714.0853088471379,890.0,,,
XGBoost Regressor,1714.0846653723402,779.0,,,
XGBoost Regressor,1714.0856665969766,957.0,,,
FNN Regressor,24094.868453136427,,310.0,128.0,0.003
FNN Regressor,24189.659563314246,,220.0,128.0,0.003
FNN Regressor,24210.404118455186,,220.0,128.0,0.003
FNN Regressor,24291.311621034583,,220.0,128.0,0.0003
FNN Regressor,24204.476967913197,,220.0,128.0,0.003
FNN Regressor,24175.96932407563,,220.0,32.0,0.003
FNN Regressor,24038.569215482556,,330.0,32.0,0.003
FNN Regressor,23939.99875968065,,410.0,32.0,0.003
FNN Regressor,23967.91947120081,,400.0,32.0,0.003
LightGBM Regressor,1820.599884320506,724.0,,,
LightGBM Regressor,1853.6430020337723,1375.0,,,
LightGBM Regressor,1859.1500580200366,1695.0,,,
LightGBM Regressor,1836.5750190583951,975.0,,,
LightGBM Regressor,1805.034142854968,530.0,,,
LightGBM Regressor,1825.63068260332,775.0,,,
LightGBM Regressor,1851.0322782300345,1223.0,,,
LightGBM Regressor,1818.805150490982,679.0,,,
XGBoost Regressor,1714.0855224216757,930.0,,,
XGBoost Regressor,1714.0818762511067,579.0,,,
XGBoost Regressor,1714.0880603079984,1405.0,,,
XGBoost Regressor,1714.0808684819074,490.0,,,
XGBoost Regressor,1714.0805865798375,563.0,,,
XGBoost Regressor,1714.0851059717882,852.0,,,
FNN Regressor,23831.642682138543,,460.0,32.0,0.003
FNN Regressor,24021.125006774575,,360.0,32.0,0.003
Logistic Regressor,24293.967112444734,,480.0,256.0,0.001
Logistic Regressor,24294.336445742167,,480.0,64.0,0.001
FNN Regressor,24262.393107599564,,360.0,32.0,0.001
FNN Regressor,24250.972959818137,,410.0,32.0,0.001
FNN Regressor,20764.473362774042,,410.0,32.0,0.01
FNN Regressor,20393.762235208946,,410.0,64.0,0.01
FNN Regressor,7643.973309774747,,410.0,64.0,0.03
FNN Regressor,8656.903953001824,,410.0,32.0,0.03
XGBoost Regressor,1714.0850807346792,413.0,,,
XGBoost Regressor,1714.0844271766562,732.0,,,
XGBoost Regressor,1714.0341640122288,299.0,,,
XGBoost Regressor,1714.051610404967,346.0,,,
XGBoost Regressor,1714.0865692562238,1126.0,,,
XGBoost Regressor,1714.0902373539075,1812.0,,,
XGBoost Regressor,1714.087878545261,1371.0,,,
LightGBM Regressor,1851.8470371931655,1252.0,,,
LightGBM Regressor,1827.6476538199863,792.0,,,
LightGBM Regressor,1777.5387979904206,343.0,,,
LightGBM Regressor,1776.639809131518,388.0,,,
LightGBM Regressor,1809.1041508028306,572.0,,,
LightGBM Regressor,1854.2264250225664,1402.0,,,
LightGBM Regressor,1824.3806865544368,755.0,,,
LightGBM Regressor,1858.4482559952771,1636.0,,,
LightGBM Regressor,1838.7145342504537,988.0,,,
LightGBM Regressor,1852.0095444520057,1298.0,,,
LightGBM Regressor,1827.6476538199863,792.0,,,
LightGBM Regressor,1854.5597109858843,1441.0,,,
MLP Regressor,2888.086328718454,,400.0,32.0,0.003
XGBoost Regressor,1714.0868737923522,1183.0,,,
XGBoost Regressor,1714.0844816252961,738.0,,,
LightGBM Regressor,1810.0525327425842,552.0,,,
FNN Regressor,8442.020898237812,,410.0,128.0,0.03
FNN Regressor,10304.666624617359,,370.0,128.0,0.03
XGBoost Regressor,1717.1118395541048,131.0,,,
XGBoost Regressor,1714.098208724754,450.0,,,
XGBoost Regressor,1714.0991828587034,446.0,,,
XGBoost Regressor,1714.0844472991478,724.0,,,
XGBoost Regressor,1714.0872318132228,1250.0,,,
LightGBM Regressor,1853.710822107637,1384.0,,,
LightGBM Regressor,1846.1036021653015,1113.0,,,
LightGBM Regressor,1784.022177325995,407.0,,,
LightGBM Regressor,1775.4217218380961,375.0,,,
LightGBM Regressor,1934.6750695310175,156.0,,,
LightGBM Regressor,1814.770615057048,644.0,,,
LightGBM Regressor,1810.0525327425842,552.0,,,
LightGBM Regressor,1803.1814538093838,495.0,,,
LightGBM Regressor,1846.0298765953326,1106.0,,,
XGBoost Regressor,1714.0910509895384,1964.0,,,
XGBoost Regressor,1714.0862861312974,1073.0,,,
XGBoost Regressor,1714.0902534094198,1815.0,,,
XGBoost Regressor,1714.09052637214,1866.0,,,
XGBoost Regressor,1714.0876059310801,1320.0,,,
XGBoost Regressor,1714.0855811585463,941.0,,,
XGBoost Regressor,1714.0801256653897,560.0,,,
XGBoost Regressor,1714.1050803383512,74.0,,,
XGBoost Regressor,1714.0849732688773,828.0,,,
XGBoost Regressor,1714.0863662570587,1088.0,,,
XGBoost Regressor,1714.7203389983038,159.0,,,
XGBoost Regressor,1714.0853302035976,894.0,,,
XGBoost Regressor,1714.086115206722,1041.0,,,
XGBoost Regressor,1714.0902320020975,1811.0,,,
XGBoost Regressor,1714.0904781996387,1857.0,,,
XGBoost Regressor,1714.0872264691723,1249.0,,,
XGBoost Regressor,1714.0666446423697,396.0,,,
MLP Regressor,19124.800264614514,,400.0,32.0,0.001
MLP Regressor,19405.670740977228,,360.0,32.0,0.001
MLP Regressor,19542.727232847767,,360.0,128.0,0.001
MLP Regressor,19797.140175859797,,360.0,128.0,0.001
MLP Regressor,24129.867478574117,,140.0,128.0,0.001
MLP Regressor,24052.563911707526,,140.0,128.0,0.001
MLP Regressor,24280.116765065988,,60.0,128.0,0.001
XGBoost Regressor,1714.0872531895636,1254.0,,,
XGBoost Regressor,1714.0862540818625,1067.0,,,
XGBoost Regressor,1714.089236805576,1625.0,,,
FNN Regressor,24259.18568536443,,370.0,128.0,0.001
FNN Regressor,7876.20242933622,,370.0,128.0,0.03
Logistic Regressor,24294.292971866806,,480.0,256.0,0.001
Logistic Regressor,24291.443465160464,,480.0,256.0,0.003
Logistic Regressor,24293.33710522915,,270.0,256.0,0.003
Logistic Regressor,24292.357172316733,,360.0,256.0,0.003
Logistic Regressor,24292.376058756054,,360.0,64.0,0.003
Logistic Regressor,24292.503721266,,360.0,16.0,0.003
Logistic Regressor,24291.54927627274,,460.0,16.0,0.003
Logistic Regressor,24291.736399759226,,460.0,16.0,0.003
Logistic Regressor,24295.538407973974,,460.0,16.0,0.0003
Logistic Regressor,24295.67149492276,,350.0,16.0,0.0003
FNN Regressor,11986.260853791158,,320.0,128.0,0.03
FNN Regressor,23983.87061557301,,320.0,128.0,0.003
FNN Regressor,22050.424741329338,,320.0,128.0,0.01
LightGBM Regressor,1819.1116512553692,668.0,,,
MLP Regressor,23728.552860035787,,190.0,128.0,0.001
MLP Regressor,10417.761057072346,,190.0,128.0,0.003
MLP Regressor,19026.223684196615,,140.0,128.0,0.003
MLP Regressor,20235.59268016519,,140.0,64.0,0.003
MLP Regressor,19590.127757414837,,140.0,32.0,0.003
MLP Regressor,19846.589278970823,,140.0,128.0,0.003
MLP Regressor,24287.125921746683,,140.0,128.0,0.0003
MLP Regressor,24056.078413618226,,140.0,128.0,0.001
MLP Regressor,24036.480578011673,,140.0,128.0,0.001
MLP Regressor,24120.759492258334,,140.0,64.0,0.001
MLP Regressor,23007.433506380155,,230.0,64.0,0.001
